SampleID	Date	Variety	Plot	Treatment	SampleType	Rep	Timepoint	Group	SampleTreatment
DC1	9-Aug	RTx430	6	Drought	Rhizosphere	1	1	TP8_Drought_Rhizosphere	Drought_Rhizosphere
DC2	9-Aug	RTx430	2	Watered	Rhizosphere	1	1	TP8_Watered_Rhizosphere	Watered_Rhizosphere
DC3	9-Aug	RTx430	11	Watered	Rhizosphere	2	1	TP8_Watered_Rhizosphere	Watered_Rhizosphere
DC4	9-Aug	RTx430	13	Drought	Rhizosphere	2	1	TP8_Drought_Rhizosphere	Drought_Rhizosphere
DC5	9-Aug	RTx430	18	Drought	Rhizosphere	3	1	TP8_Drought_Rhizosphere	Drought_Rhizosphere
DC6	9-Aug	RTx430	19	Watered	Rhizosphere	3	1	TP8_Watered_Rhizosphere	Watered_Rhizosphere
DC7	9-Aug	RTx430	2	Watered	Soil	1	1	TP8_Watered_Soil	Watered_Soil
DC8	9-Aug	RTx430	6	Drought	Soil	1	1	TP8_Drought_Soil	Drought_Soil
DC9	9-Aug	RTx430	11	Watered	Soil	2	1	TP8_Watered_Soil	Watered_Soil
DC10	9-Aug	RTx430	13	Drought	Soil	2	1	TP8_Drought_Soil	Drought_Soil
DC11	9-Aug	RTx430	18	Drought	Soil	3	1	TP8_Drought_Soil	Drought_Soil
DC12	9-Aug	RTx430	19	Watered	Soil	3	1	TP8_Watered_Soil	Watered_Soil
DC13	9-Aug	RTx430	2	Watered	Root	1	1	TP8_Watered_Root	Watered_Root
DC14	9-Aug	RTx430	6	Drought	Root	1	1	TP8_Drought_Root	Drought_Root
DC15	9-Aug	RTx430	11	Watered	Root	2	1	TP8_Watered_Root	Watered_Root
DC16	9-Aug	RTx430	13	Drought	Root	2	1	TP8_Drought_Root	Drought_Root
DC17	9-Aug	RTx430	18	Drought	Root	3	1	TP8_Drought_Root	Drought_Root
DC18	9-Aug	RTx430	19	Watered	Root	3	1	TP8_Watered_Root	Watered_Root
DC19	11-Aug	RTx430	2	Watered	Rhizosphere	1	2	TP24h_Watered_Rhizosphere	Watered_Rhizosphere
DC20	11-Aug	RTx430	6	Drought	Rhizosphere	1	2	TP24h_Drought_Rhizosphere	Drought_Rhizosphere
DC21	11-Aug	RTx430	11	Watered	Rhizosphere	2	2	TP24h_Watered_Rhizosphere	Watered_Rhizosphere
DC22	11-Aug	RTx430	13	Drought	Rhizosphere	2	2	TP24h_Drought_Rhizosphere	Drought_Rhizosphere
DC23	11-Aug	RTx430	18	Drought	Rhizosphere	3	2	TP24h_Drought_Rhizosphere	Drought_Rhizosphere
DC24	11-Aug	RTx430	19	Watered	Rhizosphere	3	2	TP24h_Watered_Rhizosphere	Watered_Rhizosphere
DC25	11-Aug	RTx430	2	Watered	Soil	1	2	TP24h_Watered_Soil	Watered_Soil
DC26	11-Aug	RTx430	6	Drought	Soil	1	2	TP24h_Drought_Soil	Drought_Soil
DC27	11-Aug	RTx430	11	Watered	Soil	2	2	TP24h_Watered_Soil	Watered_Soil
DC28	11-Aug	RTx430	13	Drought	Soil	2	2	TP24h_Drought_Soil	Drought_Soil
DC29	11-Aug	RTx430	2	Watered	Root	1	2	TP24h_Watered_Root	Watered_Root
DC30	11-Aug	RTx430	6	Drought	Root	1	2	TP24h_Drought_Root	Drought_Root
DC31	11-Aug	RTx430	11	Watered	Root	2	2	TP24h_Watered_Root	Watered_Root
DC32	11-Aug	RTx430	13	Drought	Root	2	2	TP24h_Drought_Root	Drought_Root
DC33	11-Aug	RTx430	18	Drought	Root	3	2	TP24h_Drought_Root	Drought_Root
DC34	11-Aug	RTx430	19	Watered	Root	3	2	TP24h_Watered_Root	Watered_Root
DC35	11-Aug	RTx430	18	Drought	Soil	3	2	TP24h_Drought_Soil	Drought_Soil
DC36	11-Aug	RTx430	19	Watered	Soil	3	2	TP24h_Watered_Soil	Watered_Soil
